Date,RA,Dec,MJD
10/22/22,5 37 44,23 27 15,59874
10/23/22,5 38 9,23 29 57,59875
10/24/22,5 38 31,23 32 39,59876
10/25/22,5 38 49,23 35 21,59877
10/26/22,5 39 4,23 38 3,59878
10/27/22,5 39 15,23 40 46,59879
10/28/22,5 39 22,23 43 29,59880
10/29/22,5 39 26,23 46 12,59881
10/30/22,5 39 26,23 48 55,59882
10/31/22,5 39 22,23 51 39,59883
11/1/22,5 39 14,23 54 22,59884
11/2/22,5 39 2,23 57 6,59885
11/3/22,5 38 47,23 59 50,59886
11/4/22,5 38 27,24 2 33,59887
11/5/22,5 38 4,24 5 16,59888
11/6/22,5 37 37,24 7 58,59889
11/7/22,5 37 6,24 10 40,59890
11/8/22,5 36 32,24 13 20,59891
11/9/22,5 35 53,24 15 59,59892
11/10/22,5 35 10,24 18 36,59893
11/11/22,5 34 24,24 21 11,59894
11/12/22,5 33 34,24 23 44,59895
11/13/22,5 32 40,24 26 14,59896
11/14/22,5 31 43,24 28 41,59897
11/15/22,5 30 42,24 31 5,59898
11/16/22,5 29 37,24 33 24,59899
11/17/22,5 28 29,24 35 40,59900
11/18/22,5 27 17,24 37 51,59901
11/19/22,5 26 2,24 39 56,59902
11/20/22,5 24 44,24 41 57,59903
11/21/22,5 23 24,24 43 51,59904
11/22/22,5 22 0,24 45 39,59905
11/23/22,5 20 33,24 47 21,59906
11/24/22,5 19 4,24 48 56,59907
11/25/22,5 17 33,24 50 23,59908
11/26/22,5 16 0,24 51 43,59909
11/27/22,5 14 24,24 52 56,59910
11/28/22,5 12 47,24 54 1,59911
11/29/22,5 11 9,24 54 57,59912
11/30/22,5 9 29,24 55 46,59913
12/1/22,5 7 48,24 56 26,59914
12/2/22,5 6 6,24 56 58,59915
12/3/22,5 4 24,24 57 22,59916
12/4/22,5 2 42,24 57 38,59917
12/5/22,5 0 59,24 57 45,59918
12/6/22,4 59 16,24 57 44,59919
12/7/22,4 57 34,24 57 35,59920
12/8/22,4 55 52,24 57 19,59921
12/9/22,4 54 11,24 56 55,59922
12/10/22,4 52 30,24 56 24,59923
12/11/22,4 50 51,24 55 47,59924
12/12/22,4 49 14,24 55 3,59925
12/13/22,4 47 37,24 54 12,59926
12/14/22,4 46 3,24 53 17,59927
12/15/22,4 44 31,24 52 16,59928
12/16/22,4 43 0,24 51 11,59929
12/17/22,4 41 32,24 50 2,59930
12/18/22,4 40 6,24 48 50,59931
12/19/22,4 38 43,24 47 34,59932
12/20/22,4 37 23,24 46 17,59933
12/21/22,4 36 5,24 44 57,59934
12/22/22,4 34 51,24 43 37,59935
12/23/22,4 33 40,24 42 16,59936
12/24/22,4 32 31,24 40 55,59937
12/25/22,4 31 27,24 39 34,59938
12/26/22,4 30 25,24 38 15,59939
12/27/22,4 29 27,24 36 57,59940
12/28/22,4 28 33,24 35 41,59941
12/29/22,4 27 42,24 34 28,59942
12/30/22,4 26 55,24 33 18,59943
12/31/22,4 26 11,24 32 11,59944
1/1/23,4 25 31,24 31 8,59945
1/2/23,4 24 55,24 30 8,59946
1/3/23,4 24 22,24 29 12,59947
1/4/23,4 23 53,24 28 21,59948
1/5/23,4 23 27,24 27 35,59949
1/6/23,4 23 5,24 26 53,59950
1/7/23,4 22 46,24 26 16,59951
1/8/23,4 22 32,24 25 45,59952
1/9/23,4 22 20,24 25 18,59953
1/10/23,4 22 12,24 24 57,59954
1/11/23,4 22 8,24 24 41,59955
1/12/23,4 22 6,24 24 30,59956
1/13/23,4 22 9,24 24 25,59957
1/14/23,4 22 14,24 24 25,59958
1/15/23,4 22 23,24 24 31,59959
1/16/23,4 22 35,24 24 42,59960
1/17/23,4 22 50,24 24 58,59961
1/18/23,4 23 8,24 25 20,59962
1/19/23,4 23 30,24 25 47,59963
1/20/23,4 23 54,24 26 20,59964
1/21/23,4 24 22,24 26 57,59965
1/22/23,4 24 52,24 27 40,59966
1/23/23,4 25 26,24 28 27,59967
1/24/23,4 26 2,24 29 19,59968
1/25/23,4 26 41,24 30 15,59969
1/26/23,4 27 23,24 31 16,59970
1/27/23,4 28 7,24 32 21,59971
1/28/23,4 28 54,24 33 30,59972
1/29/23,4 29 44,24 34 43,59973